                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.7938,                  1.451,                 1.3785,                0.68824,                0.67742,                0.67557,                 0.3023,                 1.8243,                 1.3355,                 1.4064,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.8042,                 1.4558,                 1.3903,                 0.6142,                0.56492,                0.58058,                0.22895,                 1.9735,                 1.4571,                 1.4594,               0.000284,               0.000284,               0.000284
                    133,                 1.8699,                 1.4876,                 1.4199,                0.65911,                0.62377,                0.62821,                0.25404,                 1.9334,                 1.3851,                 1.4575,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.7792,                 1.4828,                 1.4005,                0.74507,                0.65999,                0.67947,                0.28718,                 1.8955,                 1.3195,                 1.4383,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.7145,                 1.3814,                 1.3674,                0.74981,                0.67742,                0.72169,                 0.3019,                 1.8744,                 1.3006,                 1.4108,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.8155,                 1.4856,                 1.3923,                 0.7658,                0.63295,                0.72117,                0.31067,                 1.8677,                 1.3071,                 1.4037,              0.0002312,              0.0002312,              0.0002312
                    137,                 1.7555,                 1.4133,                 1.3548,                0.75131,                0.62903,                 0.7092,                0.31028,                  1.873,                 1.3057,                  1.404,               0.000218,               0.000218,               0.000218
                    138,                 1.7255,                 1.4302,                 1.3403,                0.76339,                0.56452,                0.63996,                0.28169,                 1.9823,                 1.4127,                 1.4676,              0.0002048,              0.0002048,              0.0002048
                    139,                  1.879,                 1.5854,                 1.4436,                 0.8033,                 0.5929,                0.64334,                0.27913,                 1.9679,                 1.4267,                 1.4675,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.7434,                 1.4105,                 1.3481,                0.74266,                0.60518,                0.68505,                0.29413,                 1.9129,                 1.3285,                  1.428,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.9391,                 1.6385,                 1.4271,                0.70998,                0.64516,                0.70746,                0.30498,                 1.8468,                 1.2773,                 1.3988,              0.0001652,              0.0001652,              0.0001652
                    142,                 1.9674,                 1.6499,                 1.4554,                0.74798,                0.62238,                0.72737,                0.30542,                 1.8681,                 1.3035,                 1.4191,               0.000152,               0.000152,               0.000152
                    143,                 1.8981,                 1.5589,                 1.4472,                0.70718,                0.66223,                0.73897,                0.30903,                 1.8875,                 1.3219,                 1.4385,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.9022,                 1.5809,                 1.4328,                0.70776,                 0.6641,                0.74134,                0.31583,                 1.9181,                  1.328,                 1.4521,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.9088,                 1.6189,                 1.4706,                0.74712,                0.66129,                0.73983,                 0.3156,                 1.9344,                 1.3155,                 1.4659,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.9541,                 1.6322,                 1.5349,                0.73697,                0.64516,                0.72635,                0.31081,                 1.9263,                 1.2836,                 1.4569,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.7507,                 1.4855,                  1.348,                0.75939,                0.66177,                0.73976,                0.31101,                 1.9297,                 1.2891,                 1.4579,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.8331,                 1.4492,                 1.3734,                0.70175,                0.69355,                0.73443,                0.31206,                 1.9235,                 1.2992,                 1.4563,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.8273,                 1.4387,                  1.361,                0.76316,                0.62903,                0.72717,                0.31287,                 1.9161,                 1.2938,                 1.4599,               5.96e-05,               5.96e-05,               5.96e-05
