                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                  2.175,                 1.6419,                 1.5504,                0.70296,                0.45161,                0.49972,                0.19978,                 2.4621,                 2.0336,                 1.6541,              0.0014357,              0.0014357,              0.0014357
                     60,                 2.1235,                 1.7519,                 1.6355,                0.15015,                0.22581,                0.08839,                0.03215,                 2.6905,                 2.7058,                  1.847,              0.0014258,              0.0014258,              0.0014258
                     61,                 2.1931,                  1.815,                 1.5581,                0.45902,                0.43548,                0.41846,                0.14445,                 2.3457,                 1.9501,                 1.6195,              0.0014159,              0.0014159,              0.0014159
                     62,                  2.071,                  1.754,                 1.5499,                 0.2026,                0.46774,                0.19116,                0.05896,                 2.5853,                 2.0999,                  1.711,               0.001406,               0.001406,               0.001406
                     63,                 2.1093,                 1.6457,                 1.5848,                0.63751,                0.43548,                0.47286,                0.19706,                 2.4626,                 1.8636,                 1.6581,              0.0013961,              0.0013961,              0.0013961
                     64,                 2.1678,                 1.7101,                 1.5898,                0.64889,                 0.5366,                0.55508,                0.26461,                 2.3048,                 1.6737,                 1.5817,              0.0013862,              0.0013862,              0.0013862
                     65,                 2.1132,                 1.7156,                 1.5341,                0.50769,                 0.4325,                0.40186,                 0.1683,                 2.3957,                 1.8487,                 1.6074,              0.0013763,              0.0013763,              0.0013763
                     66,                 2.1209,                 1.5896,                 1.5498,                0.25816,                0.32258,                0.22985,                0.07135,                 2.5574,                  2.036,                 1.7473,              0.0013664,              0.0013664,              0.0013664
                     67,                 2.1998,                 1.7128,                 1.5671,                0.25403,                0.30645,                0.16366,                0.04887,                 2.8646,                 2.3805,                 1.8661,              0.0013565,              0.0013565,              0.0013565
                     68,                 2.0765,                 1.6711,                 1.5175,                0.56392,                0.53226,                0.48686,                0.20785,                 2.5196,                 2.2474,                 1.6871,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.9589,                 1.5168,                 1.4996,                0.58109,                0.42518,                0.46764,                0.19103,                 2.5588,                  2.031,                 1.7174,              0.0013367,              0.0013367,              0.0013367
                     70,                  2.071,                 1.6563,                 1.4804,                 0.4968,                0.54839,                0.48953,                0.18417,                 2.2008,                 1.6883,                 1.6078,              0.0013268,              0.0013268,              0.0013268
                     71,                 2.1612,                 1.7386,                 1.5782,                0.18713,                0.17742,                0.10524,                0.03367,                 2.9312,                 2.4373,                 1.9456,              0.0013169,              0.0013169,              0.0013169
                     72,                 2.1307,                 1.6742,                 1.5173,                0.55286,                0.22581,                0.26594,                0.07141,                 2.7668,                  1.986,                 1.7426,               0.001307,               0.001307,               0.001307
                     73,                 2.1998,                  1.755,                 1.6436,                0.43435,                0.33871,                0.29223,                0.08704,                 2.6381,                 2.1714,                 1.7072,              0.0012971,              0.0012971,              0.0012971
                     74,                 2.0421,                 1.6213,                 1.4617,                0.66439,                0.46774,                0.54145,                0.21268,                 2.3127,                 1.7886,                 1.6603,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.9549,                 1.5365,                 1.4345,                0.70949,                0.53226,                0.59893,                0.27468,                 2.1618,                 1.5273,                 1.5971,              0.0012773,              0.0012773,              0.0012773
                     76,                 2.0224,                 1.6344,                 1.5189,                  0.713,                0.43548,                0.56854,                 0.2244,                 2.2147,                 1.7408,                 1.6476,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.9845,                 1.5374,                 1.4816,                0.28583,                0.30645,                0.18128,                0.05757,                  2.563,                 2.3687,                 1.7785,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.9537,                  1.519,                 1.4237,                0.52753,                0.41935,                0.39909,                0.17246,                  2.217,                 1.8225,                 1.5527,              0.0012476,              0.0012476,              0.0012476
                     79,                 2.0754,                 1.6469,                 1.4991,                0.71396,                    0.5,                0.52937,                0.24893,                 2.1253,                 1.7609,                 1.5088,              0.0012377,              0.0012377,              0.0012377
                     80,                 2.1075,                 1.7144,                 1.5321,                0.73645,                0.51613,                  0.532,                 0.2135,                 2.0152,                 1.6969,                 1.5097,              0.0012278,              0.0012278,              0.0012278
                     81,                 2.0052,                 1.6862,                 1.5334,                0.21175,                0.22969,                0.10654,                 0.0383,                  2.663,                 2.5021,                 1.7542,              0.0012179,              0.0012179,              0.0012179
                     82,                 2.0799,                 1.6609,                 1.5034,                0.45494,                0.41737,                0.35906,                0.08602,                 2.3653,                 2.0023,                 1.6619,               0.001208,               0.001208,               0.001208
                     83,                  2.057,                 1.6607,                 1.5254,                0.18867,                0.22882,                0.13006,                0.03762,                 2.6613,                 2.2965,                 1.7895,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.9919,                 1.5661,                 1.4821,                0.41683,                0.08065,                0.07538,                0.01514,                 2.6622,                 4.3513,                 1.9787,              0.0011882,              0.0011882,              0.0011882
                     85,                 2.0187,                 1.5284,                 1.4902,                0.79592,                0.48387,                0.60618,                0.26316,                 2.0333,                 1.5411,                 1.5071,              0.0011783,              0.0011783,              0.0011783
                     86,                 2.0363,                 1.5596,                 1.5058,                0.81022,                0.48206,                0.55591,                0.22295,                 2.0713,                 1.5391,                 1.5601,              0.0011684,              0.0011684,              0.0011684
                     87,                 2.0727,                  1.596,                 1.4912,                0.33055,                0.24194,                  0.194,                0.06058,                 2.4701,                 2.1574,                 1.6634,              0.0011585,              0.0011585,              0.0011585
                     88,                  2.027,                 1.6569,                 1.5003,                 0.2125,                0.20027,                0.14103,                0.04875,                 2.6098,                 2.4792,                 1.7533,              0.0011486,              0.0011486,              0.0011486
                     89,                 2.1172,                 1.6224,                 1.5211,                0.71358,                    0.5,                0.57366,                 0.2078,                 2.3018,                 1.5354,                 1.6369,              0.0011387,              0.0011387,              0.0011387
                     90,                   1.98,                  1.465,                 1.4298,                0.08833,                0.04839,                0.01838,                0.00735,                  2.679,                 5.7021,                 1.8084,              0.0011288,              0.0011288,              0.0011288
                     91,                 2.0002,                 1.6267,                 1.4951,                0.11666,                0.04839,                0.01582,                0.00493,                 2.8995,                 6.2316,                 1.9041,              0.0011189,              0.0011189,              0.0011189
                     92,                 2.0863,                 1.6903,                 1.5553,                0.74218,                0.48387,                0.59407,                0.23494,                 2.1853,                 1.5811,                 1.6093,               0.001109,               0.001109,               0.001109
                     93,                 1.9155,                 1.5897,                 1.4613,                0.79675,                0.48387,                0.53396,                0.22639,                 2.1294,                 1.4766,                 1.5852,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.8952,                 1.4526,                 1.4356,                0.43545,                0.35484,                0.38441,                0.13983,                 2.4085,                  1.811,                 1.6364,              0.0010892,              0.0010892,              0.0010892
                     95,                  2.071,                 1.5105,                 1.4861,                0.80783,                0.54839,                0.63671,                0.29204,                 2.0357,                 1.4974,                 1.5003,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.9789,                 1.5978,                 1.4694,                0.72826,                0.46774,                0.57661,                0.22695,                 2.0745,                 1.5527,                 1.5286,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.9456,                  1.588,                 1.4501,                 0.1591,                0.24194,                0.15592,                0.04203,                 2.6188,                 2.4682,                 1.7324,              0.0010595,              0.0010595,              0.0010595
                     98,                 2.0786,                 1.7536,                 1.4837,                0.29977,                    0.5,                0.33598,                0.15372,                 2.3258,                 1.7508,                  1.575,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.9334,                 1.5595,                 1.4313,                0.89031,                0.56452,                0.67631,                 0.2992,                 2.0346,                 1.4751,                 1.4855,              0.0010397,              0.0010397,              0.0010397
                    100,                  1.853,                  1.452,                   1.38,                0.83725,                0.56452,                0.63592,                0.27612,                 1.9763,                 1.4303,                 1.4907,              0.0010298,              0.0010298,              0.0010298
                    101,                 2.0584,                 1.6817,                 1.5195,                0.40965,                0.52608,                0.35995,                0.13545,                 2.1786,                 2.1688,                 1.5763,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.9136,                 1.5508,                 1.4608,                0.79131,                0.48936,                 0.6209,                0.23903,                 2.0911,                 1.5714,                 1.5111,                0.00101,                0.00101,                0.00101
