                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                  1.887,                 1.8083,                 1.7606,                0.64298,                 0.3871,                0.44675,                0.18178,                  2.173,                 2.1677,                 1.9363,              0.0010001,              0.0010001,              0.0010001
                    104,                  1.918,                 1.9128,                 1.7742,                0.58345,                0.41935,                0.46316,                0.17508,                  2.074,                 2.1049,                 1.8962,              0.0009902,              0.0009902,              0.0009902
                    105,                  1.895,                 1.7425,                 1.6758,                0.65109,                0.54183,                0.55564,                0.24336,                 1.8773,                 2.0205,                 1.7527,              0.0009803,              0.0009803,              0.0009803
                    106,                  1.963,                 1.8073,                  1.768,                0.65751,                 0.3871,                0.49187,                0.18684,                 2.1229,                 2.2112,                 1.8752,              0.0009704,              0.0009704,              0.0009704
                    107,                 1.9774,                 1.7668,                 1.7519,                0.27472,                0.14062,                 0.1096,                0.03597,                 2.7818,                 3.2757,                 2.2106,              0.0009605,              0.0009605,              0.0009605
                    108,                 1.9248,                 1.7833,                   1.76,                0.73112,                0.52636,                0.59158,                0.24412,                 2.0358,                 1.8441,                 1.8023,              0.0009506,              0.0009506,              0.0009506
                    109,                 2.0145,                 1.9055,                 1.7683,                0.82164,                0.54839,                0.62139,                 0.2757,                  1.947,                 1.7721,                 1.8015,              0.0009407,              0.0009407,              0.0009407
                    110,                 1.8413,                 1.8072,                 1.7212,                0.79487,                0.49998,                0.54527,                0.21384,                 1.9834,                 3.6555,                 1.7202,              0.0009308,              0.0009308,              0.0009308
                    111,                 1.8912,                 1.6781,                 1.7547,                0.90211,                0.51613,                 0.6048,                 0.2371,                 1.9704,                 2.2313,                 1.7113,              0.0009209,              0.0009209,              0.0009209
                    112,                  1.907,                  1.713,                 1.7123,                0.75606,                0.40323,                 0.4832,                0.21701,                 2.1896,                  1.894,                 1.9396,               0.000911,               0.000911,               0.000911
                    113,                 1.8912,                 1.7161,                 1.6786,                0.78308,                0.41935,                0.51979,                0.22688,                 2.2178,                 1.7456,                 1.9435,              0.0009011,              0.0009011,              0.0009011
                    114,                 1.8193,                 1.6171,                 1.6775,                0.75354,                0.54254,                0.61061,                0.25301,                 2.1594,                 1.6623,                 1.8876,              0.0008912,              0.0008912,              0.0008912
                    115,                 1.9172,                 1.6456,                  1.703,                0.75327,                  0.591,                0.63304,                0.28475,                 1.9597,                 1.6289,                 1.7809,              0.0008813,              0.0008813,              0.0008813
